segment,n_recoded,n_essential_recoded,n_essential,doubling_time_deletion,doubling_time_integration,n_reversions,has_issue,has_lethal,has_reversions,status
seg00,1050,127,7,,,,False,False,False,Normal
seg01,937,0,0,0.9841882628849349,,0.0,False,False,False,Normal
seg02,571,292,16,,,,False,False,False,Normal
seg03,654,35,4,1.1019658920097273,,0.0,False,False,False,Normal
seg04,697,312,19,,,,True,True,False,Problem
seg05,696,0,0,,,,False,False,False,Normal
seg06,579,14,1,,,,True,True,False,Problem
seg07,552,147,8,,,,True,True,False,Problem
seg08,445,31,1,,,,False,False,False,Normal
seg09,595,16,2,0.9930568125477109,,2.0,False,False,True,Normal
seg10,896,26,3,1.1600093570618826,,0.0,False,False,False,Normal
seg11,680,39,2,1.3229952821454756,,0.0,False,False,False,Normal
seg12,618,112,7,,,,False,False,False,Normal
seg13,701,0,0,,,,False,False,False,Normal
seg14,654,0,0,0.9910334705312945,,2.0,False,False,True,Normal
seg15,721,0,0,0.9953463339727495,,,False,False,False,Normal
seg16,838,0,0,0.9296225613259151,,0.0,False,False,False,Normal
seg17,585,85,4,1.1019073402220878,,2.0,False,False,True,Normal
seg18,624,166,8,,,,True,True,False,Problem
seg19,861,2,1,1.050532253409837,1.1775956917853814,1.0,False,False,True,Normal
seg20,824,0,0,0.9763144446337182,,0.0,False,False,False,Normal
seg21,743,137,8,2.175779032209105,2.8644679824587995,1.0,False,False,True,Normal
seg22,735,80,4,1.0556770966575215,1.1677820417507165,1.0,False,False,True,Normal
seg23,808,120,8,1.0806098954900547,1.1323524802573592,1.0,False,False,True,Normal
seg24,657,0,0,1.122102512847553,1.2549801262668474,0.0,False,False,False,Normal
seg25,729,49,3,1.015576624930155,1.4701348330372555,0.0,False,False,False,Normal
seg26,767,0,0,1.3271426688282562,1.6339008470047354,1.0,False,False,True,Normal
seg27,757,0,0,0.9413356733062088,,2.0,False,False,True,Normal
seg28,971,0,0,1.0090125681726965,,0.0,False,False,False,Normal
seg29,824,0,0,0.9676930280875444,,0.0,False,False,False,Normal
seg30,796,22,1,1.0971023161009545,,1.0,False,False,True,Normal
seg31,714,11,1,1.005160663272132,,0.0,False,False,False,Normal
seg32,715,69,5,1.2903695339584857,,0.0,True,True,False,Problem
seg33,827,14,1,0.97830785136975,,2.0,False,False,True,Normal
seg34,696,9,2,1.030934074149858,,0.0,False,False,False,Normal
seg35,739,9,1,,,,False,False,False,Normal
seg36,812,21,2,,,,True,True,False,Problem
seg37,741,0,0,1.0691733494927873,,0.0,False,False,False,Normal
seg38,888,0,0,0.9976410727379107,,0.0,False,False,False,Normal
seg39,784,20,1,,,1.0,False,False,True,Normal
seg40,849,50,2,1.3238783476433695,,0.0,False,False,False,Normal
seg41,761,0,0,0.954876807117505,,1.0,False,False,True,Normal
seg42,707,50,3,,,,False,False,False,Normal
seg43,716,0,0,1.1807147456941474,1.347310625483458,0.0,False,False,False,Normal
seg44,850,45,3,1.4055452388875171,,0.0,True,True,False,Problem
seg45,708,47,3,,,,False,False,False,Normal
seg46,683,0,0,0.9538865323018565,,4.0,False,False,True,Normal
seg47,812,52,3,1.1059554159793223,1.1559938142442883,1.0,False,False,True,Normal
seg48,732,50,4,1.3915540620302678,,0.0,False,False,False,Normal
seg49,718,49,4,,,,True,True,False,Problem
seg50,634,68,7,,,,False,False,False,Normal
seg51,668,38,2,,,,False,False,False,Normal
seg52,755,22,3,0.9050784231940632,,0.0,False,False,False,Normal
seg53,733,19,2,,,,False,False,False,Normal
seg54,835,9,1,,,,False,False,False,Normal
seg55,828,10,1,,,,False,False,False,Normal
seg56,595,8,2,1.0973492619557248,,0.0,False,False,False,Normal
seg57,627,15,2,,,,False,False,False,Normal
seg58,729,120,7,0.967613542461851,,0.0,False,False,False,Normal
seg59,593,45,2,,,,False,False,False,Normal
seg60,752,0,0,,,,False,False,False,Normal
seg61,666,136,13,,,,False,False,False,Normal
seg62,649,15,3,,,,False,False,False,Normal
seg63,631,123,13,,,,False,False,False,Normal
seg64,550,90,25,,,,False,False,False,Normal
seg65,748,54,2,,,,False,False,False,Normal
seg66,670,66,5,,,,False,False,False,Normal
seg67,806,0,0,,,,False,False,False,Normal
seg68,708,0,0,,,,False,False,False,Normal
seg69,695,20,2,,,,False,False,False,Normal
seg70,719,44,3,1.260215228967775,,1.0,False,False,True,Normal
seg71,770,69,5,,,,False,False,False,Normal
seg72,749,81,6,,,,False,False,False,Normal
seg73,591,30,2,,,,False,False,False,Normal
seg74,645,46,3,1.2404369028125168,,0.0,False,False,False,Normal
seg75,598,5,1,,,,True,True,False,Problem
seg76,605,43,2,,,,True,True,False,Problem
seg77,716,46,2,1.0215821476977314,,0.0,False,False,False,Normal
seg78,611,80,4,0.9678512946934663,,0.0,False,False,False,Normal
seg79,463,58,6,,,,True,True,False,Problem
seg80,634,90,4,,,,False,False,False,Normal
seg81,627,4,1,,,,True,True,False,Problem
seg82,685,0,0,,,,False,False,False,Normal
seg83,696,49,7,1.4976921624025121,1.418854625092786,0.0,False,False,False,Normal
seg84,716,2,1,2.485573977283076,,1.0,False,False,True,Normal
seg85,682,67,4,0.9501538558398326,,0.0,False,False,False,Normal
seg86,818,23,2,,,,True,True,False,Problem
